file path,line #,comment,satd
magenta/setup.py,1,Copyright 2020 The Magenta Authors.,not
magenta/setup.py,2,,not
magenta/setup.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
magenta/setup.py,4,you may not use this file except in compliance with the License.,not
magenta/setup.py,5,You may obtain a copy of the License at,not
magenta/setup.py,6,,not
magenta/setup.py,7,http://www.apache.org/licenses/LICENSE-2.0,not
magenta/setup.py,8,,not
magenta/setup.py,9,"Unless required by applicable law or agreed to in writing, software",not
magenta/setup.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
magenta/setup.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",not
magenta/setup.py,12,See the License for the specific language governing permissions and,not
magenta/setup.py,13,limitations under the License.,not
magenta/setup.py,20,Bit of a hack to parse the version string stored in version.py without,SATD
magenta/setup.py,21,"executing __init__.py, which will end up requiring a bunch of dependencies to",not
magenta/setup.py,22,"execute (e.g., tensorflow, pretty_midi, etc.).",not
magenta/setup.py,23,Makes the __version__ variable available.,not
magenta/setup.py,25,pylint: disable=exec-used,not
magenta/setup.py,34,Temporary fix for gast issue with TF.,not
magenta/setup.py,35,Details:,not
magenta/setup.py,36,https://github.com/tensorflow/tensorflow/issues/32319,not
magenta/setup.py,37,https://github.com/tensorflow/tensorflow/commit/c72125bd59858ec82a9238b232bbd77c45889c5a,not
magenta/setup.py,39,"tensor2tensor requires gym, but the newest version of gym depends on a",not
magenta/setup.py,40,a version of cloudpickle that is incompatible with tensorflow-probability,not
magenta/setup.py,41,0.7.0.,not
magenta/setup.py,50,1.14.6 is required for colab compatibility.,not
magenta/setup.py,55,1.2 breaks us,not
magenta/setup.py,60,Keep Sonnet < 2.0.0 because that requires TF2.,not
magenta/setup.py,61,"For now, restrict to < 1.36 because that requires tensorflow-probability",not
magenta/setup.py,62,"0.8.0, which causes problems with tensor2tensor.",not
magenta/setup.py,63,Sonnet 2 requires TF2.,not
magenta/setup.py,65,Magenta is not yet TF2 compatible.,not
magenta/setup.py,67,Pinned to be compatible with tensor2tensor requirements.,not
magenta/setup.py,73,Temporary fix for:,not
magenta/setup.py,74,https://issues.apache.org/jira/projects/AVRO/issues/AVRO-2737?filter=allopenissues,not
magenta/setup.py,86,pylint:disable=line-too-long,not
magenta/setup.py,137,pylint:enable=line-too-long,not
magenta/setup.py,141,pylint: disable=undefined-variable,not
magenta/setup.py,148,PyPI package information.,not
magenta/setup.py,177,1.30 has problems working with pylint plugin,not
magenta/magenta/__init__.py,1,Copyright 2020 The Magenta Authors.,not
magenta/magenta/__init__.py,2,,not
magenta/magenta/__init__.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
magenta/magenta/__init__.py,4,you may not use this file except in compliance with the License.,not
magenta/magenta/__init__.py,5,You may obtain a copy of the License at,not
magenta/magenta/__init__.py,6,,not
magenta/magenta/__init__.py,7,http://www.apache.org/licenses/LICENSE-2.0,not
magenta/magenta/__init__.py,8,,not
magenta/magenta/__init__.py,9,"Unless required by applicable law or agreed to in writing, software",not
magenta/magenta/__init__.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
magenta/magenta/__init__.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",not
magenta/magenta/__init__.py,12,See the License for the specific language governing permissions and,not
magenta/magenta/__init__.py,13,limitations under the License.,not
magenta/magenta/__init__.py,24,TODO(adarob): Remove these imports once moved to /py internally.,SATD
magenta/magenta/version.py,1,Copyright 2020 The Magenta Authors.,not
magenta/magenta/version.py,2,,not
magenta/magenta/version.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
magenta/magenta/version.py,4,you may not use this file except in compliance with the License.,not
magenta/magenta/version.py,5,You may obtain a copy of the License at,not
magenta/magenta/version.py,6,,not
magenta/magenta/version.py,7,http://www.apache.org/licenses/LICENSE-2.0,not
magenta/magenta/version.py,8,,not
magenta/magenta/version.py,9,"Unless required by applicable law or agreed to in writing, software",not
magenta/magenta/version.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
magenta/magenta/version.py,11,"WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.",not
magenta/magenta/version.py,12,See the License for the specific language governing permissions and,not
magenta/magenta/version.py,13,limitations under the License.,not
magenta/magenta/tensor2tensor/t2t_decoder.py,1,Copyright 2020 The Magenta Authors.,not
magenta/magenta/tensor2tensor/t2t_decoder.py,2,,not
magenta/magenta/tensor2tensor/t2t_decoder.py,3,"Licensed under the Apache License, Version 2.0 (the ""License"");",not
magenta/magenta/tensor2tensor/t2t_decoder.py,4,you may not use this file except in compliance with the License.,not
magenta/magenta/tensor2tensor/t2t_decoder.py,5,You may obtain a copy of the License at,not
magenta/magenta/tensor2tensor/t2t_decoder.py,6,,not
magenta/magenta/tensor2tensor/t2t_decoder.py,7,http://www.apache.org/licenses/LICENSE-2.0,not
magenta/magenta/tensor2tensor/t2t_decoder.py,8,,not
magenta/magenta/tensor2tensor/t2t_decoder.py,9,"Unless required by applicable law or agreed to in writing, software",not
magenta/magenta/tensor2tensor/t2t_decoder.py,10,"distributed under the License is distributed on an ""AS IS"" BASIS,",not
