file path,line #,comment,satd
incubator-mxnet/conftest.py,1,Licensed to the Apache Software Foundation (ASF) under one,not
incubator-mxnet/conftest.py,2,or more contributor license agreements.  See the NOTICE file,not
incubator-mxnet/conftest.py,3,distributed with this work for additional information,not
incubator-mxnet/conftest.py,4,regarding copyright ownership.  The ASF licenses this file,not
incubator-mxnet/conftest.py,5,"to you under the Apache License, Version 2.0 (the",not
incubator-mxnet/conftest.py,6,"""License""); you may not use this file except in compliance",not
incubator-mxnet/conftest.py,7,with the License.  You may obtain a copy of the License at,not
incubator-mxnet/conftest.py,8,,not
incubator-mxnet/conftest.py,9,http://www.apache.org/licenses/LICENSE-2.0,not
incubator-mxnet/conftest.py,10,,not
incubator-mxnet/conftest.py,11,"Unless required by applicable law or agreed to in writing,",not
incubator-mxnet/conftest.py,12,software distributed under the License is distributed on an,not
incubator-mxnet/conftest.py,13,"""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY",not
incubator-mxnet/conftest.py,14,"KIND, either express or implied.  See the License for the",not
incubator-mxnet/conftest.py,15,specific language governing permissions and limitations,not
incubator-mxnet/conftest.py,16,under the License.,not
incubator-mxnet/conftest.py,34,Don't fail if no tests were run,not
incubator-mxnet/conftest.py,38,* Random seed setup,not
incubator-mxnet/conftest.py,105,The MXNET_TEST_SEED environment variable will override MXNET_MODULE_SEED for tests with,not
incubator-mxnet/conftest.py,106,the 'with_seed()' decoration.  Inform the user of this once here at the module level.,not
incubator-mxnet/conftest.py,111,Load the user's locale settings to verify that MXNet works correctly when the C locale is set,not
incubator-mxnet/conftest.py,112,to anything other than the default value. Please see #16134 for an example of a bug caused by,not
incubator-mxnet/conftest.py,113,incorrect handling of C locales.,not
incubator-mxnet/conftest.py,123,execute all other hooks to obtain the report object,not
incubator-mxnet/conftest.py,127,"set a report attribute for each phase of a call, which can",not
incubator-mxnet/conftest.py,128,"be ""setup"", ""call"", ""teardown""",not
incubator-mxnet/conftest.py,189,Always log seed on DEBUG log level. This makes sure we can find out the,not
incubator-mxnet/conftest.py,190,value of the seed even if the test case causes a segfault and subsequent,not
incubator-mxnet/conftest.py,191,teardown code is not run.,not
incubator-mxnet/conftest.py,194,run the test,not
incubator-mxnet/conftest.py,205,Either request.node.rep_setup.failed or request.node.rep_setup.passed,not
incubator-mxnet/conftest.py,206,should be True,not
incubator-mxnet/conftest.py,208,On failure also log seed on INFO log level,not
incubator-mxnet/conftest.py,215,* Shared test fixtures,not
incubator-mxnet/example/recommenders/movielens_data.py,1,Licensed to the Apache Software Foundation (ASF) under one,not
incubator-mxnet/example/recommenders/movielens_data.py,2,or more contributor license agreements.  See the NOTICE file,not
incubator-mxnet/example/recommenders/movielens_data.py,3,distributed with this work for additional information,not
incubator-mxnet/example/recommenders/movielens_data.py,4,regarding copyright ownership.  The ASF licenses this file,not
incubator-mxnet/example/recommenders/movielens_data.py,5,"to you under the Apache License, Version 2.0 (the",not
incubator-mxnet/example/recommenders/movielens_data.py,6,"""License""); you may not use this file except in compliance",not
incubator-mxnet/example/recommenders/movielens_data.py,7,with the License.  You may obtain a copy of the License at,not
incubator-mxnet/example/recommenders/movielens_data.py,8,,not
incubator-mxnet/example/recommenders/movielens_data.py,9,http://www.apache.org/licenses/LICENSE-2.0,not
incubator-mxnet/example/recommenders/movielens_data.py,10,,not
incubator-mxnet/example/recommenders/movielens_data.py,11,"Unless required by applicable law or agreed to in writing,",not
incubator-mxnet/example/recommenders/movielens_data.py,12,software distributed under the License is distributed on an,not
incubator-mxnet/example/recommenders/movielens_data.py,13,"""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY",not
incubator-mxnet/example/recommenders/movielens_data.py,14,"KIND, either express or implied.  See the License for the",not
incubator-mxnet/example/recommenders/movielens_data.py,15,specific language governing permissions and limitations,not
incubator-mxnet/example/recommenders/movielens_data.py,16,under the License.,not
incubator-mxnet/example/recommenders/movielens_data.py,48,MovieLens 100k dataset from https://grouplens.org/datasets/movielens/,not
incubator-mxnet/example/recommenders/movielens_data.py,49,"This dataset is copy right to GroupLens Research Group at the University of Minnesota,",not
incubator-mxnet/example/recommenders/movielens_data.py,50,and licensed under their usage license.,not
incubator-mxnet/example/recommenders/movielens_data.py,51,"For full text of the usage license, see http://files.grouplens.org/datasets/movielens/ml-100k-README.txt",not
incubator-mxnet/example/recommenders/matrix_fact.py,1,Licensed to the Apache Software Foundation (ASF) under one,not
incubator-mxnet/example/recommenders/matrix_fact.py,2,or more contributor license agreements.  See the NOTICE file,not
incubator-mxnet/example/recommenders/matrix_fact.py,3,distributed with this work for additional information,not
incubator-mxnet/example/recommenders/matrix_fact.py,4,regarding copyright ownership.  The ASF licenses this file,not
incubator-mxnet/example/recommenders/matrix_fact.py,5,"to you under the Apache License, Version 2.0 (the",not
incubator-mxnet/example/recommenders/matrix_fact.py,6,"""License""); you may not use this file except in compliance",not
incubator-mxnet/example/recommenders/matrix_fact.py,7,with the License.  You may obtain a copy of the License at,not
incubator-mxnet/example/recommenders/matrix_fact.py,8,,not
incubator-mxnet/example/recommenders/matrix_fact.py,9,http://www.apache.org/licenses/LICENSE-2.0,not
incubator-mxnet/example/recommenders/matrix_fact.py,10,,not
incubator-mxnet/example/recommenders/matrix_fact.py,11,"Unless required by applicable law or agreed to in writing,",not
incubator-mxnet/example/recommenders/matrix_fact.py,12,software distributed under the License is distributed on an,not
incubator-mxnet/example/recommenders/matrix_fact.py,13,"""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY",not
incubator-mxnet/example/recommenders/matrix_fact.py,14,"KIND, either express or implied.  See the License for the",not
incubator-mxnet/example/recommenders/matrix_fact.py,15,specific language governing permissions and limitations,not
incubator-mxnet/example/recommenders/matrix_fact.py,16,under the License.,not
incubator-mxnet/example/recommenders/matrix_fact.py,42,Fix random seed for consistent demos,SATD
incubator-mxnet/example/recommenders/matrix_fact.py,43,Fix random seed for consistent demos,SATD
incubator-mxnet/example/recommenders/matrix_fact.py,44,Fix random seed for consistent demos,SATD
incubator-mxnet/example/recommenders/matrix_fact.py,50,update_on_kvstore=False),not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,1,Licensed to the Apache Software Foundation (ASF) under one,not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,2,or more contributor license agreements.  See the NOTICE file,not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,3,distributed with this work for additional information,not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,4,regarding copyright ownership.  The ASF licenses this file,not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,5,"to you under the Apache License, Version 2.0 (the",not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,6,"""License""); you may not use this file except in compliance",not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,7,with the License.  You may obtain a copy of the License at,not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,8,,not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,9,http://www.apache.org/licenses/LICENSE-2.0,not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,10,,not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,11,"Unless required by applicable law or agreed to in writing,",not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,12,software distributed under the License is distributed on an,not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,13,"""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY",not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,14,"KIND, either express or implied.  See the License for the",not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,15,specific language governing permissions and limitations,not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,16,under the License.,not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,17,,not
incubator-mxnet/example/neural_collaborative_filtering/ncf.py,73,arg parser,not
